+-------------+----------+------+----------+--------------------------------------------+---------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|    商品id   | 用户昵称 | 评分 | 商品尺寸 |                  商品颜色                  |       评论时间      |                                                                                                                                                          评论内容                                                                                                                                                          |
+-------------+----------+------+----------+--------------------------------------------+---------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| 22345844085 |  d***4   |  5   |          | 【制氧雾化一体】5升氧可调+轻音制氧+24h定时 | 2025-02-06 15:07:57 |                                                                                                           发货速度非常快，客服回答也耐心，机器目前用下来很好用，还送了遥控器等配件，使用起来也很方便，支持！！！                                                                                                           |
| 22391747580 |  j***i   |  5   |          | 【制氧雾化一体】5升氧可调+轻音制氧+24h定时 | 2025-02-17 16:39:05 |                                                                                  下单后物流很快，第二天就到货了，老爸迫不及待地试用，感觉非常不错，噪音小，出氧快，虽橡皮塞有点紧，客服耐心解答，发了操作视频，老人在家操作起来简单方便。                                                                                  |
| 22446284899 | 肖***梵  |  5   |          | 【制氧雾化一体】5升氧可调+轻音制氧+24h定时 | 2025-02-26 14:39:08 |                                                                                               操作简单，重要的是声音真的很小，没有轰隆隆的巨声，性价比也很高，不仅可以吸氧而且还可以雾化，一机两用。是家用吸氧仪的不错选择。                                                                                               |
| 22401933715 | 悦***麻  |  5   |          | 【制氧雾化一体】5升氧可调+轻音制氧+24h定时 | 2025-02-19 13:58:03 |                                                                                       制氧机特别好用，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，运送速度很快，声音也不大，比实体店便宜多了。很满意的一次购物！                                                                                       |
| 22355308970 |  j***p   |  5   |          | 【制氧雾化一体】5升氧可调+轻音制氧+24h定时 | 2025-02-08 20:47:51 |                                                                      京东商城购物值得购买，值得推荐。一次很好的购物体验，一直都在京东商城购物，感觉非常满意。还会继续光顾京东商城的，这款制氧机大品牌很好，而且带雾化功能。推荐大家，声音不大能接受。                                                                      |
| 22351406131 |  s***1   |  5   |          | 【制氧雾化一体】5升氧可调+轻音制氧+24h定时 | 2025-02-07 21:23:07 |                                                                                                           物流很快，上午下单晚上就收到了，老妈肺炎血氧86-88，吸10分钟后血氧95-96，操作简单，使用方便，效果不错！                                                                                                           |
| 22345727731 |  沐***7  |  5   |          | 【制氧雾化一体】5升氧可调+轻音制氧+24h定时 | 2025-02-06 14:31:03 |                                                                                                   对比了好几款最终选择了这个，第二天就到货了，到家后使用起来操作很方便，给父母平时保健用的，很满意。鱼跃的牌子用着也放心                                                                                                   |
| 22338791825 |  火***4  |  5   |          | 【制氧雾化一体】5升氧可调+轻音制氧+24h定时 | 2025-02-04 12:30:11 |                                                                                                          商品物超所值，质量没毛病。物流迅速，商家服务热情，售后服务周到。包装好，物流快，价格实惠，比超市便宜多了                                                                                                          |
| 22446708316 |  8***o   |  5   |          | 【制氧雾化一体】5升氧可调+轻音制氧+24h定时 | 2025-02-26 16:36:25 |                                                                                 这一款制氧机可以用家庭或个人支取氧气使用用于保健美容师的护理，这款制氧机具有雾化的功能，还赠送一个小遥控器使用起来非常的方便，还设有定时功能，非常方便使用                                                                                 |
| 22443767030 |  D***梦  |  5   |          | 【制氧雾化一体】5升氧可调+轻音制氧+24h定时 | 2025-02-25 21:02:00 | 这款吸氧机的体验真的不错！💨首先，它的外观非常简洁大气，白色的机身搭配蓝色的氛围灯，科技感十足📸。使用起来非常方便，操作也很简单，只需要两步就能搞定✌️。吸氧效果很棒，能够有效缓解疲惫和压力，感觉整个人都轻松了许多😊。而且，材质看起来质量很好，整体设计也很人性化，细节处理得很到位。总的来说，性价比超高，值得推荐👍！ |
| 22345844085 |  d***4   |  5   |          | 【制氧雾化一体】5升氧可调+轻音制氧+24h定时 | 2025-02-06 15:07:57 |                                                                                                           发货速度非常快，客服回答也耐心，机器目前用下来很好用，还送了遥控器等配件，使用起来也很方便，支持！！！                                                                                                           |
| 22391747580 |  j***i   |  5   |          | 【制氧雾化一体】5升氧可调+轻音制氧+24h定时 | 2025-02-17 16:39:05 |                                                                                  下单后物流很快，第二天就到货了，老爸迫不及待地试用，感觉非常不错，噪音小，出氧快，虽橡皮塞有点紧，客服耐心解答，发了操作视频，老人在家操作起来简单方便。                                                                                  |
| 22446284899 | 肖***梵  |  5   |          | 【制氧雾化一体】5升氧可调+轻音制氧+24h定时 | 2025-02-26 14:39:08 |                                                                                               操作简单，重要的是声音真的很小，没有轰隆隆的巨声，性价比也很高，不仅可以吸氧而且还可以雾化，一机两用。是家用吸氧仪的不错选择。                                                                                               |
| 22401933715 | 悦***麻  |  5   |          | 【制氧雾化一体】5升氧可调+轻音制氧+24h定时 | 2025-02-19 13:58:03 |                                                                                       制氧机特别好用，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，运送速度很快，声音也不大，比实体店便宜多了。很满意的一次购物！                                                                                       |
